"F1" "F1.1"
"1" -0.48313147920748 451.686852079252
"2" -0.359711693787255 464.028830621274
"3" -0.583553599958681 441.644640004132
"4" -0.0855755735734589 491.442442642654
"5" -0.410833453655361 458.916654634464
"6" -0.592729708250328 440.727029174967
"7" -0.327918977244288 467.208102275571
"8" 0.270064678818257 527.006467881826
"9" -0.366523501187704 463.34764988123
"10" -0.36710341175561 463.289658824439
"11" -0.245509262396786 475.449073760321
"12" -0.178315544263336 482.168445573666
"13" -0.75964857853395 424.035142146605
"14" -0.340946627772874 465.905337222713
"15" -0.820598031152563 417.940196884744
"16" -0.447962040513552 455.203795948645
"17" -0.313958191231791 468.604180876821
"18" -0.547011504440771 445.298849555923
"19" -0.686388806410738 431.361119358926
"20" -0.191364506274191 480.863549372581
"21" -0.0491743510035548 495.082564899645
"22" -0.629077360754195 437.092263924581
"23" -0.33919124919383 466.080875080617
"24" -0.424306673777883 457.569332622212
"25" -0.841100188195367 415.889981180463
"26" -0.561760918124197 443.82390818758
"27" -0.535208037825658 446.479196217434
"28" -0.665844314272014 433.415568572799
"29" -0.178193417188988 482.180658281101
"30" -0.18455416604388 481.544583395612
"31" -0.116211630387468 488.378836961253
"32" -0.714423912869308 428.557608713069
"33" -0.261604633413523 473.839536658648
"34" -0.296268963108791 470.373103689121
"35" -0.365881190914965 463.411880908504
"36" -0.359049985999643 464.095001400036
"37" -0.187866766675748 481.213323332425
"38" -1.61436870688432 338.563129311568
"39" 0.130543174542022 513.054317454202
"40" 0.0785914746310023 507.8591474631
"41" -0.225850856042008 477.414914395799
"42" -0.34372834235021 465.627165764979
"43" -0.914401544722358 408.559845527764
"44" -0.136467792831675 486.353220716832
"45" -0.024980631824306 497.501936817569
"46" -0.809092676885781 419.090732311422
"47" -1.58446665630769 341.553334369231
"48" -0.717486237889262 428.251376211074
"49" -0.706373434315802 429.36265656842
"50" -0.281991069724142 471.800893027586
"51" -0.407148837151499 459.28511628485
"52" -0.753320049448116 424.667995055188
"53" -0.646039064945393 435.396093505461
"54" -0.286676756344959 471.332324365504
"55" -0.0504392980654909 494.956070193451
"56" -0.340016202703436 465.998379729656
"57" -0.788928486705871 421.107151329413
"58" -0.365827427274034 463.417257272597
"59" -0.364650796641993 463.534920335801
"60" -0.00346307487699303 499.653692512301
"61" 0.0470389940773184 504.703899407732
"62" -0.612394819364529 438.760518063547
"63" -0.178512108560479 482.148789143952
"64" -1.0889512079637 391.10487920363
"65" -0.746191902180498 425.38080978195
"66" -0.231347971735866 476.865202826413
"67" -0.347629215017638 465.237078498236
"68" -0.00803331641245145 499.196668358755
"69" -0.337572083964526 466.242791603547
"70" -0.248332082171527 475.166791782847
"71" -0.27573032041414 472.426967958586
"72" -0.417968621132767 458.203137886723
"73" -0.363445755083413 463.655424491659
"74" -0.407014485326568 459.298551467343
"75" -0.414544947434244 458.545505256576
"76" -0.48086742057655 451.913257942345
"77" -0.863914640963579 413.608535903642
"78" -0.134171581076246 486.582841892375
"79" -0.208687041231975 479.131295876802
"80" -0.310138759989273 468.986124001073
"81" -0.912125473374784 408.787452662522
"82" -0.231185375302418 476.881462469758
"83" -0.294769027336699 470.52309726633
"84" -0.15213009477269 484.786990522731
"85" -0.324898858571271 467.510114142873
"86" -0.768497956895561 423.150204310444
"87" 0.128796929093749 512.879692909375
"88" -0.312211882066418 468.778811793358
"89" -0.174496283105097 482.55037168949
"90" -0.290933303963135 470.906669603687
"91" -0.198728615179813 480.127138482019
"92" -0.27913657443213 472.086342556787
"93" -0.180350496714339 481.964950328566
"94" 0.19328243027743 519.328243027743
"95" -0.119343596383271 488.065640361673
"96" -0.559021304027967 444.097869597203
"97" -0.809728161199864 419.027183880014
"98" -0.785347935565084 421.465206443492
"99" -0.490901503329705 450.909849667029
"100" 0.0745987987738748 507.459879877387
"101" -0.106583243490523 489.341675650948
"102" -0.26694696979812 473.305303020188
"103" 0.612983566876783 561.298356687678
"104" -0.895407843534688 410.459215646531
"105" -0.394525464932049 460.547453506795
"106" -0.650076262997745 434.992373700226
"107" 0.184063638886332 518.406363888633
"108" 0.103794140622322 510.379414062232
"109" -0.740998265417357 425.900173458264
"110" -0.187990296494802 481.20097035052
"111" -0.527197882562737 447.280211743726
"112" -0.411323715796448 458.867628420355
"113" 0.0463056612161658 504.630566121617
"114" -0.149374136945844 485.062586305416
"115" -0.643082184066749 435.691781593325
"116" -1.06857047812464 393.142952187536
"117" -0.135254636707469 486.474536329253
"118" -0.708527834024934 429.147216597507
"119" -0.69588479131719 430.411520868281
"120" -0.156877642537824 484.312235746218
"121" -0.788445891873566 421.155410812643
"122" -0.266000728504217 473.399927149578
"123" -0.211271951097859 478.872804890214
"124" -0.286334465829832 471.366553417017
"125" -0.746227607025608 425.377239297439
"126" -0.0731377340989296 492.686226590107
"127" -0.357174309130584 464.282569086942
"128" -0.691608310341327 430.839168965867
"129" -0.540359321934767 445.964067806523
"130" -0.14506605169964 485.493394830036
"131" -0.0651163885562423 493.488361144376
"132" -0.146743482663599 485.32565173364
"133" -0.438008970824985 456.199102917501
"134" -0.354570759164634 464.542924083537
"135" -0.322429343775786 467.757065622421
"136" -0.296762593409654 470.323740659035
"137" -0.305922597080009 469.407740291999
"138" -0.0722566291043715 492.774337089563
"139" -0.15737458889811 484.262541110189
"140" -0.424910648192381 457.508935180762
"141" -0.554043343671544 444.595665632846
"142" -0.506118749600176 449.388125039982
"143" 0.0364000128794561 503.640001287946
"144" -0.0722965505037209 492.770344949628
"145" -0.801438456433058 419.856154356694
"146" -0.437182980210398 456.28170197896
