"a" "b" "g" "u"
"1" 1.18326311579022 1.64349995933813 0.0270100967005301 1
"2" 0.776942128368368 2.43637077574945 0.457179558599151 1
"3" 0.955979504845519 1.39160399602397 0.139440293905494 1
"4" 2.03780996641243 0.873730556044259 0.538385283205845 1
"5" 1.64406248076543 0.667479556806744 0.399598560402104 1
"6" 4.67894244604341 0.52160051511778 0.786181709601806 1
"7" 1.12084489118745 1.86755543958887 0.232775471384693 1
"8" 1.29717569063031 1.84160168424995 0.414587539184658 1
"9" -0.344048009316895 -7.03804954423827 0.0192913216028684 1
"10" 0.335990582222862 5.15405801047986 0.00202557164287537 1
"11" -2.63437511920674 -1.15997315650348 0.0861873276221117 1
"12" 5.86897637107643 2.64898771317108 0.20866209478367 1
"13" 1.10139105389507 1.1710769431686 0.000125045539782968 1
"14" 7.19038792089816 2.63821524448315 0.118705405862142 1
"15" 12.3455115583462 2.44122522316103 0.226589550870112 1
"16" 10.6144778597275 2.33608813409816 0.175226182204755 1
"17" 0.758350029637199 1.98123442152671 0.111877421417339 1
"18" 8.80954524941637 2.60953529909622 0.209967068649978 1
"19" 6.27544498078726 2.64941116917109 0.180696891877882 1
"20" -0.528132079741389 -6.32699540247235 0.152706365214707 1
"21" 2.46533788298608 2.74472543112419 0.143710891252449 1
"22" -2.64265938625726 -1.21446843604005 0.168396610257914 1
"23" 0.337897209413488 5.55403497462458 0.000750198296393413 1
"24" 0.249314013695856 7.28464899026813 0.00400980293467218 1
"25" 7.20036716664193 2.55265278844268 0.230899886601983 1
"26" 9.871993381657 2.46954306410024 0.144161782796479 1
"27" 4.93930794136291 2.66398400411991 0.205343203364568 1
"28" 0.52823141160874 5.14292962370946 0.096149817193819 1
"29" 0.473129109608733 3.23231036235965 0.000671690067324175 1
"30" 3.78627053387574 2.51574646191528 0.121135940035448 1
"31" -1.38017488883472 -2.91192132595918 0.17298719593979 1
"32" 11.7522477368112 2.27190750741995 0.241433204317825 1
"33" 5.05998398291992 2.51278428985078 0.171946051258815 1
"34" 5.30089558188656 2.39541096884169 0.186126029833296 1
